Org Key,Event Key,Event Title,Topline,Headliner,Openers,Date(s),Time(s),Price/Admission,Age Restriction,Event Description,Staff/Artists,Category,Venue,Venue Info,Street Name,Address Line 2,City,State,Postal Code,Event Image URL,Location Link,Get Tickets,URL
0,0,"Vundabar - Tickets - Club Dada - Dallas, TX - December 2nd, 2020",Margin Walker presents,Vundabar,NA,"Wed, December 2, 2020",7:00 PM,$15.00 - $18.00,All Ages,Margin Walker presents Vundabar at Club Dada  ,,"Live Music, Night Life, Performance",Club Dada,Night Club,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101013404%2F231623301463%2F1%2Foriginal.20200514-210026?auto=compress&fit=clip&h=&w=300&s=98fd396465362c2d7218352ebdeb70ef,https://goo.gl/maps/d3G9381S4j1zD73s9,http://eventbrite.com/e/vundabar-new-date-club-dada-tickets-76275950421,https://www.dadadallas.com/e/vundabar-104657262690/
0,1,"Azizi Gibson - Tickets - Club Dada - Dallas, TX - December 4th, 2020",Margin Walker presents,Azizi Gibson,NA,"Fri, December 4, 2020",7:00 PM,Sales Ended,All Ages,Margin Walker presents Azizi Gibson at Club Dada ,,"Live Music, Night Life, Performance",Club Dada,Night Club,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F97976078%2F231623301463%2F1%2Foriginal.20200403-204954?auto=compress&fit=clip&h=&w=300&s=763d72aed82c76e5480319e063ea917d,https://goo.gl/maps/d3G9381S4j1zD73s9,Sales Ended,https://www.dadadallas.com/e/azizi-gibson-93194333761/
0,2,"SURFER BLOOD • Winter - Tickets - Club Dada - Dallas, TX - February 3rd, 2021",presented by pofTX,Surfer Blood,Winter,"Wed, February 3, 2021",7:00 PM,$14.99 ,All Ages,"SURFER BLOOD's rescheduled show from Not So Fun Wknd 2020. Bringing WINTER with them at it is in winter. It will probably be so cold out. Surfer Blood have just finished recording their 5th album, which will be coming out on July 17, 2020, alongside a 10th anniversary reissue of their debut album Astro Coast. Surfer Blood's music is renowned for catchy hooks and sonic detail. One of the best indie guitar bands around, founding members John Paul Pitts and Tyler Schwarz are joined by guitarist Michael McCleary and bassist Lindsey Mills, all four alumni of the same high school in West Palm Beach, Florida.Surfer Blood are the cleanest and nicest band in existence.",,"Live Music, Night Life, Performance",Club Dada,Night Club,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F98116308%2F277453266158%2F1%2Foriginal.20200406-175206?auto=compress&fit=clip&h=&w=300&s=a158ea94eb421b69fdc316f017ef54b4,https://goo.gl/maps/d3G9381S4j1zD73s9,https://www.eventbrite.com/e/surfer-blood-winter-tickets-102104597600,https://www.dadadallas.com/e/surfer-blood-winter-102104597600/
0,3,"NateWantsToBattle • Vespera - Tickets - Club Dada - Dallas, TX - March 29th, 2021",Margin Walker presents,NateWantsToBattle,Vespera,"Mon, March 29, 2021",7:00 PM,Sales Ended,All Ages,Margin Walker presents NateWantsToBattle with Vespera at Club Dada ,,"Live Music, Night Life, Performance",Club Dada,Night Club,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F94096373%2F231623301463%2F1%2Foriginal.20200225-182950?auto=compress&fit=clip&h=&w=300&s=adcf71103ce5045461427ef5c7adbff8,https://goo.gl/maps/d3G9381S4j1zD73s9,Sales Ended,https://www.dadadallas.com/e/natewantstobattle-vespera-95763219367/
0,4,"Anti-Flag - Tickets - Club Dada - Dallas, TX - May 18th, 2021",Margin Walker presents,Anti-Flag,NA,"Tue, May 18, 2021",7:00 PM,$18.00 - $20.00,All Ages,Margin Walker presents Anti-Flag at Club Dada ,,"Live Music, Night Life, Performance",Club Dada,Night Club,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F100711988%2F231623301463%2F1%2Foriginal.20200511-212616?auto=compress&fit=clip&h=&w=300&s=84e6d6af0e0e8fe2b1fc0c6deb207810,https://goo.gl/maps/d3G9381S4j1zD73s9,http://eventbrite.com/e/anti-flag-new-date-club-dada-tickets-72393836915,https://www.dadadallas.com/e/anti-flag-105000078060/
0,5,"Armor For Sleep - Tickets - Club Dada - Dallas, TX - July 15th, 2021",Margin Walker presents,Armor For Sleep,NA,"Thu, July 15, 2021",7:00 PM,$25.00 - $28.00,All Ages,Margin Walker presents Armor For Sleep at Club Dada ,,"Live Music, Night Life, Performance",Club Dada,Night Club,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F109410785%2F231623301463%2F1%2Foriginal.20200824-212715?auto=compress&fit=clip&h=&w=300&s=23ae477c99e142b83ab83209115e53b8,https://goo.gl/maps/d3G9381S4j1zD73s9,http://eventbrite.com/e/armor-for-sleep-club-dada-tickets-91016935103,https://www.dadadallas.com/e/armor-for-sleep-95138372433/
1,3,Bartok | Image | Imbue,Three Iconic Pieces. One Incredible Night.,,,"Mar 05 - Mar 07, 2021",,,,"Take a remarkable journey through three extraordinary shows in one night. From timeless and traditional to modern and abstract, experience some of the world’s most powerful stories told through movement.

Bartok

Playful motifs and moody backdrops set the stage for an awe-inspiring performance. With layered tones and muted colors, the movement and music meet in a dynamic crescendo.

Image

Bright lights and gold hues capture the tragic beauty of American icon, Marilyn Monroe, as she transforms from a young starlet into a seductive blonde bombshell.

Imbue

Modern and minimalistic, Imbue’s powerful tones, mood-altering hues and sharp lines will keep you on the edge of your seat.

","Bartok Choreographer                                                                            Ben Stevenson, O.B.E.

Image Choreographer                                                                            Ben Stevenson, O.B.E.

Imbue Choreographer                                                                             Garrett Smith

Bartok Composer                                                                            Béla Bartók

Image Composer                                                                             Adagio of the 10th Symphony of Mahler

Imbue Composer                                                                            Philip Glass

Run Time                                                                            2 Hours

","Live Performance, Music, Dance, Ballet, Fine Arts, Sit Down",Performing at Bass Performance Hall,Performance Hall,,",",,,,https://texasballettheater.org/wp-content/uploads/2020/04/image-hero.jpg,,,https://texasballettheater.org/perfomance/bartok-image-imbue/
1,5,A Masked Ballet,,,,"Date   December 5, 2020",Time   7:00 pm,"Price   $100 per ticket; sponsor opportunities and ""tables"" available",," On behalf of Texas Ballet Theater (TBT), we are pleased to invite you to A Masked Ballet – a virtual gala–on December 5, 2020.Presented on an innovative new platform by SportFive, sponsors and their guests will experience a captivating evening featuring the world premiere of a new work by Artistic Director Ben Stevenson, O.B.E. to Strauss’Emperor Waltz; tributes by celebrity guests; visits by TBT Company Dancers at private virtual tables; and exclusive behind-the-scenes TBT content. Funds raised from A Masked Balletdirectly support the TBT Relief Fund and are imperative to TBT’s ability to continue elevating the art of ballet in North Texas and beyond. For more information aboutA Masked Ballet, please contact our Events team at specialevents@texasballet.org.  Sponsor Levels Presenting Sponsor: $50,000 Prima Ballerina Sponsor: $25,000 Soloist Sponsor: $10,000 Corps de Ballet Sponsor: $5,000 Table Sponsor: $2,500 ",,"Fine Arts,",Virtual  Support TBT from the comfort of your home.,Night Club,,",",,,,https://texasballettheater.org/wp-content/uploads/2020/11/Masked-ballet-website-graphic.png,,https://texasballettheater.networkforgood.com/projects/38954-art-access-education,https://texasballettheater.org/events/a-masked-ballet/
1,4,Beauty & The Beast,True Love Blooms from Within,,,"May 14 - May 23, 2021",,,,"Stunning costumes and enchanting choreography showcase the power of love and acceptance. Watch Belle’s kindness transform the monster into a man, reminding us that true beauty lies beneath the surface.

","Choreographer                                                                            Lew Christensen

Composer                                                                            Pyotr Ilyich Tchaikovsky

Run Time                                                                            90 Minutes

","Live Performance, Music, Dance, Ballet, Fine Arts, Sit Down",Performing at Winspear Opera House and Bass Performance Hall,Performance Hall,,",",,,,https://texasballettheater.org/wp-content/uploads/2020/04/beauty-beast-hero.jpg,,,https://texasballettheater.org/perfomance/beauty-and-the-beast/
1,0,The Nutcracker,"At Midnight, the Clock Strikes Magic",,,"Dec 14 - Dec 26, 2020",,,,"Experience the most magical tradition of the holiday season from the comfort of your own home. Ben Stevenson’s The Nutcracker is available online for the first time ever, and when you purchase a ticket, you’ll also receive access to The Nutty Nutcracker. From snowflakes to sweets, The Nutcracker will dazzle and delight to become your favorite joy of the season. This video was filmed in 2012, so you may see a few old favorites onstage!

","Choreographer                                                                            Ben Stevenson, O.B.E.

Composer                                                                            Pyotr Ilyich Tchaikovsky

Run Time                                                                            2 Hours

","Live Performance, Music, Dance, Ballet, Fine Arts, Sit Down",Tickets will be available for purchase soon. Please stay tuned for more information.,Performance Hall,,",",,,,https://texasballettheater.org/wp-content/uploads/2020/04/nutcracker-hero.jpg,,,https://texasballettheater.org/perfomance/the-nutcracker/
