Event Title,Topline,Headliner,Openers,Date(s),Time(s),Price/Admission,Age Restriction,Event Description,Venue,Venue Info,Street Name,Address Line 2,City,State,Postal Code,Event Image URL,Visit Event Website,Location Link,Get Tickets,URL,Get Ticekts
"Vundabar - Tickets - Club Dada - Dallas, TX - December 2nd, 2020",Margin Walker presents,Vundabar,NA,"Wed, December 2, 2020",7:00 PM,$15.00 - $18.00,All Ages,Margin Walker presents Vundabar at Club Dada  ,Club Dada,,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101013404%2F231623301463%2F1%2Foriginal.20200514-210026?auto=compress&fit=clip&h=&w=300&s=98fd396465362c2d7218352ebdeb70ef,,,,https://www.dadadallas.com/e/vundabar-104657262690/,http://eventbrite.com/e/vundabar-new-date-club-dada-tickets-76275950421
"Azizi Gibson - Tickets - Club Dada - Dallas, TX - December 4th, 2020",Margin Walker presents,Azizi Gibson,NA,"Fri, December 4, 2020",7:00 PM,Sales Ended,All Ages,Margin Walker presents Azizi Gibson at Club Dada ,Club Dada,,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F97976078%2F231623301463%2F1%2Foriginal.20200403-204954?auto=compress&fit=clip&h=&w=300&s=763d72aed82c76e5480319e063ea917d,,,Sales Ended,https://www.dadadallas.com/e/azizi-gibson-93194333761/,
"SURFER BLOOD • Winter - Tickets - Club Dada - Dallas, TX - February 3rd, 2021",presented by pofTX,Surfer Blood,Winter,"Wed, February 3, 2021",7:00 PM,$14.99 ,All Ages,"SURFER BLOOD's rescheduled show from Not So Fun Wknd 2020. Bringing WINTER with them at it is in winter. It will probably be so cold out. Surfer Blood have just finished recording their 5th album, which will be coming out on July 17, 2020, alongside a 10th anniversary reissue of their debut album Astro Coast. Surfer Blood's music is renowned for catchy hooks and sonic detail. One of the best indie guitar bands around, founding members John Paul Pitts and Tyler Schwarz are joined by guitarist Michael McCleary and bassist Lindsey Mills, all four alumni of the same high school in West Palm Beach, Florida.Surfer Blood are the cleanest and nicest band in existence.",Club Dada,,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F98116308%2F277453266158%2F1%2Foriginal.20200406-175206?auto=compress&fit=clip&h=&w=300&s=a158ea94eb421b69fdc316f017ef54b4,,,,https://www.dadadallas.com/e/surfer-blood-winter-102104597600/,https://www.eventbrite.com/e/surfer-blood-winter-tickets-102104597600
"NateWantsToBattle • Vespera - Tickets - Club Dada - Dallas, TX - March 29th, 2021",Margin Walker presents,NateWantsToBattle,Vespera,"Mon, March 29, 2021",7:00 PM,Sales Ended,All Ages,Margin Walker presents NateWantsToBattle with Vespera at Club Dada ,Club Dada,,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F94096373%2F231623301463%2F1%2Foriginal.20200225-182950?auto=compress&fit=clip&h=&w=300&s=adcf71103ce5045461427ef5c7adbff8,,,Sales Ended,https://www.dadadallas.com/e/natewantstobattle-vespera-95763219367/,
"Anti-Flag - Tickets - Club Dada - Dallas, TX - May 18th, 2021",Margin Walker presents,Anti-Flag,NA,"Tue, May 18, 2021",7:00 PM,$18.00 - $20.00,All Ages,Margin Walker presents Anti-Flag at Club Dada ,Club Dada,,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F100711988%2F231623301463%2F1%2Foriginal.20200511-212616?auto=compress&fit=clip&h=&w=300&s=84e6d6af0e0e8fe2b1fc0c6deb207810,,,,https://www.dadadallas.com/e/anti-flag-105000078060/,http://eventbrite.com/e/anti-flag-new-date-club-dada-tickets-72393836915
"Armor For Sleep - Tickets - Club Dada - Dallas, TX - July 15th, 2021",Margin Walker presents,Armor For Sleep,NA,"Thu, July 15, 2021",7:00 PM,$25.00 - $28.00,All Ages,Margin Walker presents Armor For Sleep at Club Dada ,Club Dada,,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F109410785%2F231623301463%2F1%2Foriginal.20200824-212715?auto=compress&fit=clip&h=&w=300&s=23ae477c99e142b83ab83209115e53b8,,,,https://www.dadadallas.com/e/armor-for-sleep-95138372433/,http://eventbrite.com/e/armor-for-sleep-club-dada-tickets-91016935103
Virtual Tour - The Fight for Civil Rights in the South,,,,Sep 22 - Jan 14,All Day Daily through Jan 14,,,"Experience the Dallas Holocaust and Human Rights Museum's current special exhibition, ""The Fight for Civil Rights in the South,"" virtually! The Fight for Civil Rights in the South combines two prestigious photography exhibitions covering the African American struggle for civil rights and social equality in the 1960s – Selma to Montgomery: Photographs by Spider Martin and Courage Under Fire: The 1961 Burning of the Freedom Riders Bus. Now through January 14, 2021! ",Dallas Holocaust and Human Rights Museum - Online through Matterport,,300 N Houston St,NA,"Dallas,",TX,75202,"https://visitdallas.imgix.net/placeholder/dallas-1.jpg?w=360&h=300&fit=fill&crop=edges,faces&q=75&fm=pjpg&dpr=3&auto=compress,format,redeye&trim=auto",https://www.visitdallas.comhttps://www.dhhrm.org/,https://www.google.com/maps/place/Dallas+Holocaust+and+Human+Rights+Museum+-+Online+through+Matterport+300+N+Houston+St+Dallas+TX+75202,https://www.visitdallas.comhttps://my.matterport.com/show/?m=YmS3U5qCjaC,https://www.visitdallas.com/things-to-do/events/view/11707/Virtual-Tour---The-Fight-for-Civil-Rights-in-the-South.html,
Lucrecia Waggoner: Fragments,,,,Sep 22 - Oct 02,12:00 pm - 5:00 pm Daily through Oct 2,Free Admission,,"Dallas Design District gallery, Laura Rathe Fine Art (LRFA), announces a solo exhibition featuring new works by celebrated porcelain installation artist, Lucrecia Waggoner. LRFA will be hosting this solo exhibition from Saturday, August 28th to October 3rd by appointment only. Waggoner's impressive installations are intricately mapped to suit their surroundings and are inspired by forms found in nature. She incorporates various materials in her work, including precious metals, such as 22k Gold, palladium, and bronze, which add depth and illuminate each individual vessel. Waggoner's works invoke the sense of a fragmented whole coming together again. She harmonizes individual organic forms and geometric patterns to create compelling compositions that distinctly transform any space. 'Fragments' will be on display through October 3rd, 2020. ",Laura Rathe Fine Art,https://www.visitdallas.com/things-to-do/venue/view/19304/Laura-Rathe-Fine-Art.html,1130 Dragon St,Suite 130,"Dallas,",TX,75207,"https://visitdallas.imgix.net/placeholder/dallas-1.jpg?w=360&h=300&fit=fill&crop=edges,faces&q=75&fm=pjpg&dpr=3&auto=compress,format,redeye&trim=auto",,/things-to-do/venue/view/19304/Laura-Rathe-Fine-Art.html,https://www.visitdallas.comhttps://www.eventbrite.com/e/opening-reception-for-lucrecia-waggoner-fragments-tickets-116468005941,https://www.visitdallas.com/things-to-do/events/view/11842/Lucrecia-Waggoner-Fragments.html,
Southwestern Watercolor Society Exhibition,,,,Sep 22 - Oct 03,4:00 pm - 6:00 pm Daily through Oct 3,,,"More than 80 watercolor and water media paintings will be featured at the Southwestern Watercolor Society's 57th Annual Member Exhibition at Blue House Too Gallery at Watters Creek. The free exhibit will open to the public on Wednesday, September 2 and features all types of watercolor and water media painting from abstract to realism, landscapes to floral, and portraits to animals. Most of the paintings will be for sale. The works were chosen from 370 entries submitted by artists from throughout the Dallas-Fort Worth region and across the state and nation. The Gallery is located at 988 Village Green Drive in Allen. The public may view the exhibition during Gallery hours, which are Sunday, 1-4 p.m., Wednesday - Friday, 4-6 p.m. and Saturday, 1-6 p.m. The Gallery is closed Mondays and Tuesdays. The show closes on Saturday, October 3. ",Blue Too Gallery at Watters Creek,,988 Village Green Drive,NA,"Allen,",TX,75013-3818,"https://visitdallas.imgix.net/usersub/7e83a94f-e1a2-11ea-84b1-001851a9e331_1598626642_photo.jpg?w=360&h=300&fit=fill&crop=edges,faces&q=75&fm=pjpg&dpr=3&auto=compress,format,redeye&trim=auto",https://www.visitdallas.comwww.swswatercolor.org,https://www.google.com/maps/place/Blue+Too+Gallery+at+Watters+Creek+988+Village+Green+Drive+Allen+TX+75013-3818,,https://www.visitdallas.com/things-to-do/events/view/11846/Southwestern-Watercolor-Society-Exhibition.html,
Bishop Arts Food and Historical Tour,,,,Sep 27 - Dec 27,1:00 pm - 4:30 pm Every Sun ongoing,$49 ,,"Sample the fun and fare of this unique neighborhood when we tour the eclectic and amazing Bishop Arts District on foot. We will slip into colorful galleries and shops, and stop at great eateries including one that's the pitmaster's choice for Best BBQ in Dallas, and even a place where you can make your own tableside s'mores! Drinks beyond water are on your own. Minimum 8 people; limit 15 people. $4 off each ticket with four or more. Use code EAT. ",Lockhart Smokehouse,,400 W Davis St,NA,"Dalls,",TX,75208,"https://visitdallas.imgix.net/usersub/c815e0db-3385-11e7-b09d-0018517bf0c5_1494344923_photo.jpg?w=360&h=300&fit=fill&crop=edges,faces&q=75&fm=pjpg&dpr=3&auto=compress,format,redeye&trim=auto",https://www.visitdallas.comhttp://www.dallasbychocolate.com,https://www.google.com/maps/place/Lockhart+Smokehouse+400+W+Davis+St+Dalls+TX+75208,,https://www.visitdallas.com/things-to-do/events/view/3296/Bishop-Arts-Food-and-Historical-Tour.html,
