Org Key,Event Key,Event Title,Topline,Headliner,Openers,Date(s),Time(s),Price/Admission,Age Restriction,Event Description,Venue,Venue Info,Street Name,Address Line 2,City,State,Postal Code,Event Image URL,Visit Event Website,Location Link,Get Tickets,URL
0000,000000,"Vundabar - Tickets - Club Dada - Dallas, TX - December 2nd, 2020",Margin Walker presents,Vundabar,NA,"Wed, December 2, 2020",7 PM,$15.00 - $18.00,All Ages,Margin Walker presents Vundabar at Club Dada  ,Club Dada,,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101013404%2F231623301463%2F1%2Foriginal.20200514-210026?auto=compress&fit=clip&h=&w=300&s=98fd396465362c2d7218352ebdeb70ef,,,http://eventbrite.com/e/vundabar-new-date-club-dada-tickets-76275950421,https://www.dadadallas.com/e/vundabar-104657262690/
0000,000001,"Azizi Gibson - Tickets - Club Dada - Dallas, TX - December 4th, 2020",Margin Walker presents,Azizi Gibson,NA,"Fri, December 4, 2020",7 PM,Sales Ended,All Ages,Margin Walker presents Azizi Gibson at Club Dada ,Club Dada,,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F97976078%2F231623301463%2F1%2Foriginal.20200403-204954?auto=compress&fit=clip&h=&w=300&s=763d72aed82c76e5480319e063ea917d,,,Sales Ended,https://www.dadadallas.com/e/azizi-gibson-93194333761/
0000,000002,"SURFER BLOOD • Winter - Tickets - Club Dada - Dallas, TX - February 3rd, 2021",presented by pofTX,Surfer Blood,Winter,"Wed, February 3, 2021",7 PM,$14.99,All Ages,"SURFER BLOOD's rescheduled show from Not So Fun Wknd 2020. Bringing WINTER with them at it is in winter. It will probably be so cold out. Surfer Blood have just finished recording their 5th album, which will be coming out on July 17, 2020, alongside a 10th anniversary reissue of their debut album Astro Coast. Surfer Blood's music is renowned for catchy hooks and sonic detail. One of the best indie guitar bands around, founding members John Paul Pitts and Tyler Schwarz are joined by guitarist Michael McCleary and bassist Lindsey Mills, all four alumni of the same high school in West Palm Beach, Florida.Surfer Blood are the cleanest and nicest band in existence.",Club Dada,,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F98116308%2F277453266158%2F1%2Foriginal.20200406-175206?auto=compress&fit=clip&h=&w=300&s=a158ea94eb421b69fdc316f017ef54b4,,,https://www.eventbrite.com/e/surfer-blood-winter-tickets-102104597600,https://www.dadadallas.com/e/surfer-blood-winter-102104597600/
0000,000003,"NateWantsToBattle • Vespera - Tickets - Club Dada - Dallas, TX - March 29th, 2021",Margin Walker presents,NateWantsToBattle,Vespera,"Mon, March 29, 2021",7 PM,Sales Ended,All Ages,Margin Walker presents NateWantsToBattle with Vespera at Club Dada ,Club Dada,,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F94096373%2F231623301463%2F1%2Foriginal.20200225-182950?auto=compress&fit=clip&h=&w=300&s=adcf71103ce5045461427ef5c7adbff8,,,Sales Ended,https://www.dadadallas.com/e/natewantstobattle-vespera-95763219367/
0000,000004,"Anti-Flag - Tickets - Club Dada - Dallas, TX - May 18th, 2021",Margin Walker presents,Anti-Flag,NA,"Tue, May 18, 2021",7 PM,$18.00 - $20.00,All Ages,Margin Walker presents Anti-Flag at Club Dada ,Club Dada,,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F100711988%2F231623301463%2F1%2Foriginal.20200511-212616?auto=compress&fit=clip&h=&w=300&s=84e6d6af0e0e8fe2b1fc0c6deb207810,,,http://eventbrite.com/e/anti-flag-new-date-club-dada-tickets-72393836915,https://www.dadadallas.com/e/anti-flag-105000078060/
0000,000005,"Armor For Sleep - Tickets - Club Dada - Dallas, TX - July 15th, 2021",Margin Walker presents,Armor For Sleep,NA,"Thu, July 15, 2021",7 PM,$25.00 - $28.00,All Ages,Margin Walker presents Armor For Sleep at Club Dada ,Club Dada,,2720 Elm St,",",Dallas,TX,75226,https://img-dev.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F109410785%2F231623301463%2F1%2Foriginal.20200824-212715?auto=compress&fit=clip&h=&w=300&s=23ae477c99e142b83ab83209115e53b8,,,http://eventbrite.com/e/armor-for-sleep-club-dada-tickets-91016935103,https://www.dadadallas.com/e/armor-for-sleep-95138372433/
0001,000000,The Nutcracker,,,,,,,,,,,,",",,,,,,,,
0001,000001,The Nutty Nutcracker,,,,,,,,,,,,",",,,,,,,,
0001,000002,Serenade | Star Crossed | World Premiere by Tim O’Keefe,,,,,,,,,,,,",",,,,,,,,
0001,000003,Bartok | Image | Imbue,,,,,,,,,,,,",",,,,,,,,
0001,000004,Beauty & The Beast,,,,,,,,,,,,",",,,,,,,,
